name,price,location,make,latitude,longitude
2017 hyundai sonata,5725.0,Raleigh,hyundai,35.8481008240372,-78.5712998483957
44 MPG 2015 Hybrid Lexus CT200h,3600.0,Henderson,MPG,36.3301004232495,-78.3981015824305
F-150,11500.0,Clayton,,35.6576995002741,-78.3837014341663
2015 Fiat 500 POP (LOW MILES)!!!,4250.0,Smithfield,Fiat,35.4910014404943,-78.3570027468302
2023 Honda Ridgeline RTL-E,23800.0,Raleigh,Honda,35.8262992069758,-78.6491023603502
2018 Dodge Ram 3500/ Kaufman 3 car hauler,25000.0,Roanoke Rapids,Dodge,36.4461008854876,-77.6731025609072
2007 Mazda MX-5 Miata Grand Touring Hardtop Convertible,10000.0,Apex,Mazda,35.7302015796661,-78.8627164962239
Family va,500.0,Durham,va,35.9882084855042,-78.9285865891376
GMC 2006 2500HD,6900.0,Angier,2006,35.4897002533417,-78.7248972281906
Porsche Macan Turbo,17500.0,Cary,Macan,35.8343996842829,-78.8465974745744
2004 Chevrolet Tahoe,6000.0,Durham,Chevrolet,36.0338990048744,-78.8966969041779
"1997 DODGE RAM 1500 70,000 MILES GARAGE KEPT",9000.0,Sanford,DODGE,35.4468991601321,-79.1380003714155
2014 Chevrolet Cruze LS,3500.0,Raleigh,Chevrolet,35.7239007627934,-78.5480016655736
2007 h3 hummer,6500.0,Creedmoor,h3,36.1224015036523,-78.6861016829265
Food Truck For Sale,25000.0,Raeford,Truck,34.9889998846551,-79.2227975521325
2013 Honda fit Sport VSA Hatchback 4D,7500.0,Durham,Honda,35.9111983741804,-78.9178018045604
BMW 323i Convertible 1999,5500.0,South Hill,323i,36.7124002094942,-78.1534016213837
2003  Toyota  Highlander Limited,3500.0,Stem,Toyota,36.1999003479754,-78.7221991699334
1950  Ford,38000.0,Raleigh,Ford,35.867300639751,-78.5380980900853
2008 Hyundai Entourage,3500.0,Louisburg,Hyundai,36.0578016581704,-78.2586001103108
2020 BMW X1 xdrive28i,21995.0,Apex,BMW,35.7225004539421,-78.8407985687302
1970 Plymouth Barracuda Convertible - 383 - Factory Air - 1 of 66 Made,116900.0,Salina,Plymouth,38.8237004100673,-97.6421032284319
Nissan 300zx Twin Turbo 1991,15000.0,Raleigh,300zx,35.8949017356143,-78.7051032552432
Nissan 300zx Twin Turbo 1991,20000.0,Raleigh,300zx,35.8949017356143,-78.7051032552432
2019 Chevrolet Trax,16000.0,Wake Forest,Chevrolet,35.9579987127997,-78.5235019902551
2014 VW Passat,5000.0,Durham,VW,35.996698574112,-78.8966012202261
2003 Jaguar XKR Convertible,12200.0,Raleigh,Jaguar,35.7076006864806,-78.6563015750456
Ram 2500 diesel 2012,33500.0,Hillsborough,2500,36.0888995154572,-79.0175978744376
2017 International 26' Box Truck,25000.0,Raleigh,International,35.8162220252756,-78.5432478347476
07' Toyota Silver Camry,5900.0,Four Oaks,Toyota,35.403998945224,-78.4152983376927
